kind,query_date,query_group,reference_date,reference_group,same_label,rmse
zshape,2026-07-17,a,2026-07-13,a,True,0.10547534121520462
zshape,2026-07-17,a,2026-07-13,b,False,0.25363447293280067
zshape,2026-07-17,a,2026-07-13,c,False,0.324170195248839
zshape,2026-07-17,a,2026-07-13,d,False,0.28166779329412905
zshape,2026-07-17,a,2026-07-13,e,False,0.34421883754940075
zshape,2026-07-17,b,2026-07-13,a,False,0.10805198952747597
zshape,2026-07-17,b,2026-07-13,b,True,0.2563577237988039
zshape,2026-07-17,b,2026-07-13,c,False,0.32699168132563433
zshape,2026-07-17,b,2026-07-13,d,False,0.28485355387003286
zshape,2026-07-17,b,2026-07-13,e,False,0.3469818236613735
zshape,2026-07-17,c,2026-07-13,a,False,0.07716132769823916
zshape,2026-07-17,c,2026-07-13,b,False,0.17748672948446365
zshape,2026-07-17,c,2026-07-13,c,True,0.24150713505996999
zshape,2026-07-17,c,2026-07-13,d,False,0.19919514650059436
zshape,2026-07-17,c,2026-07-13,e,False,0.2608839378927896
zshape,2026-07-17,d,2026-07-13,a,False,0.08123893792939171
zshape,2026-07-17,d,2026-07-13,b,False,0.08391387959605792
zshape,2026-07-17,d,2026-07-13,c,False,0.16118149826266628
zshape,2026-07-17,d,2026-07-13,d,True,0.1225788987783128
zshape,2026-07-17,d,2026-07-13,e,False,0.18262805471778562
zshape,2026-07-17,e,2026-07-13,a,False,0.09637375912800444
zshape,2026-07-17,e,2026-07-13,b,False,0.08774283187621161
zshape,2026-07-17,e,2026-07-13,c,False,0.1496949655417564
zshape,2026-07-17,e,2026-07-13,d,False,0.10675019854085634
zshape,2026-07-17,e,2026-07-13,e,True,0.16964021636609655
