kind,group_pair,rmse
raw,a-b,0.4349770378065157
raw,a-c,0.3450412520328129
raw,a-d,0.15969590771105557
raw,a-e,0.3614328791377432
raw,a-f,1.175553237529161
raw,a-g,0.2624567069532329
raw,a-h,1.1030915454396126
raw,a-i,2.0349736045814897
raw,a-j,1.930273819177533
raw,a-k,1.991290219819186
raw,b-c,0.771993555525445
raw,b-d,0.5916243659659913
raw,b-e,0.7541967893842297
raw,b-f,0.7434247814863485
raw,b-g,0.32823394466084127
raw,b-h,1.3636606206739377
raw,b-i,1.674578493873948
raw,b-j,1.5635618870561692
raw,b-k,1.686720695207097
raw,c-d,0.1871644210652258
raw,c-e,0.13044999867529228
raw,c-f,1.513403997995418
raw,c-g,0.5138138210288132
raw,c-h,0.894583787683545
raw,c-i,2.286410684524852
raw,c-j,2.1895508925000686
raw,c-k,2.1978149900142387
raw,d-e,0.22797766841102807
raw,d-f,1.3336623382199067
raw,d-g,0.36647812890414266
raw,d-h,1.0064537936967348
raw,d-i,2.153711027353443
raw,d-j,2.052024751266169
raw,d-k,2.0895069526846237
raw,e-f,1.4892579181619268
raw,e-g,0.46037479518897234
raw,e-h,0.7874490136763076
raw,e-i,2.19921999991929
raw,e-j,2.10653901189936
raw,e-k,2.0956072479851935
raw,f-g,1.0393707232349603
raw,f-h,1.994326611499779
raw,f-i,1.2694441006731938
raw,f-j,1.1547706931178214
raw,f-k,1.4353880791626143
raw,g-h,1.041332512550861
raw,g-i,1.78914802151494
raw,g-j,1.6889489637007205
raw,g-k,1.7322278526503267
raw,h-i,2.2898406997149183
raw,h-j,2.234532280191981
raw,h-k,2.061959772844001
raw,i-j,0.14668605514761326
raw,i-k,0.38129285271287583
raw,j-k,0.45498139115384006
maxabs,a-b,0.022466209353221057
maxabs,a-c,0.7244396891172412
maxabs,a-d,0.1370072782869638
maxabs,a-e,0.7351426102827837
maxabs,a-f,0.07447260357619444
maxabs,a-g,0.302092564107252
maxabs,a-h,0.954472992451218
maxabs,a-i,0.39095580979180095
maxabs,a-j,0.3794543182718663
maxabs,a-k,0.4805914141466536
maxabs,b-c,0.7067451381792282
maxabs,b-d,0.11890056504038869
maxabs,b-e,0.7164896915711422
maxabs,b-f,0.08666505850968452
maxabs,b-g,0.28159851534238367
maxabs,b-h,0.9372950556577845
maxabs,b-i,0.3713804149763384
maxabs,b-j,0.36069516597814644
maxabs,b-k,0.460377730394667
maxabs,c-d,0.6010799270476123
maxabs,c-e,0.06700254587933166
maxabs,c-f,0.7839755144282885
maxabs,c-g,0.4616939553188697
maxabs,c-h,0.23385379819042226
maxabs,c-i,0.3795970203202631
maxabs,c-j,0.38319452901220313
maxabs,c-k,0.32372939536375467
maxabs,d-e,0.6076112087782024
maxabs,d-f,0.20406934446609384
maxabs,d-g,0.17330955821337496
maxabs,d-h,0.8310273265444514
maxabs,d-i,0.25618149903785475
maxabs,d-j,0.24421091556929442
maxabs,d-k,0.3471903912637979
maxabs,e-f,0.7943403657014761
maxabs,e-g,0.45704547662746875
maxabs,e-h,0.24505991972358857
maxabs,e-i,0.3706200243537367
maxabs,e-j,0.3782395955205302
maxabs,e-k,0.3016743550044429
maxabs,f-g,0.3586102788862154
maxabs,f-h,1.015083452598248
maxabs,f-i,0.45218657358827685
maxabs,f-j,0.4433555664092697
maxabs,f-k,0.5387878895043634
maxabs,g-h,0.6929927904061461
maxabs,g-i,0.0998893984428387
maxabs,g-j,0.10355440179946848
maxabs,g-k,0.18079827937481463
maxabs,h-i,0.6063321962743013
maxabs,h-j,0.6096106532333895
maxabs,h-k,0.5432657226669392
maxabs,i-j,0.031241356934433053
maxabs,i-k,0.09374587751205049
maxabs,j-k,0.11687034356520076
zshape,a-b,0.01780872575560231
zshape,a-c,0.10353914542326242
zshape,a-d,0.1835310085213848
zshape,a-e,0.1799364766262693
zshape,a-f,0.18229149445085027
zshape,a-g,0.16178653503331072
zshape,a-h,0.2081796377008457
zshape,a-i,0.2673104117493639
zshape,a-j,0.31129964593515197
zshape,a-k,0.24657621549126246
zshape,b-c,0.11465873890191577
zshape,b-d,0.18394314830160077
zshape,b-e,0.18546433253298264
zshape,b-f,0.18227668416417223
zshape,b-g,0.16771372051149538
zshape,b-h,0.21229021284863775
zshape,b-i,0.26993639498437333
zshape,b-j,0.31397859903206027
zshape,b-k,0.24923159534483244
zshape,c-d,0.1321097589763024
zshape,c-e,0.09359744738041399
zshape,c-f,0.2695198357871383
zshape,c-g,0.0798298457271104
zshape,c-h,0.1295491767282924
zshape,c-i,0.19024171828043399
zshape,c-j,0.23067126088594977
zshape,c-k,0.17060174761806973
zshape,d-e,0.07727186284193373
zshape,d-f,0.3629854495513637
zshape,d-g,0.06822894887133459
zshape,d-h,0.05806728237937804
zshape,d-i,0.09743307238657346
zshape,d-j,0.14372641425979477
zshape,d-k,0.0790924389520893
zshape,e-f,0.35701936119937516
zshape,e-g,0.026474997028756508
zshape,e-h,0.04542786179508162
zshape,e-i,0.0995105648339606
zshape,e-j,0.1387712269590546
zshape,e-k,0.08033769367240154
zshape,f-g,0.3400470951155767
zshape,f-h,0.3874654032858874
zshape,f-i,0.4464942204896172
zshape,f-j,0.48931275767357807
zshape,f-k,0.4261134238592516
zshape,g-h,0.051016133008663186
zshape,g-i,0.11289780717217407
zshape,g-j,0.15556475362508068
zshape,g-k,0.09303251867239165
zshape,h-i,0.06413344717118061
zshape,h-j,0.10816218721924535
zshape,h-k,0.045504035986128476
zshape,i-j,0.04725396597153225
zshape,i-k,0.02125609661752732
zshape,j-k,0.06712326340405923
